Feature,WindowSize(ms),Threshold
RMS,10,0.023637825255553427
RMS,20,0.02341179112230208
RMS,30,0.022755632282422708
RMS,40,0.022337511920422288
RMS,50,0.02309243306778634
RMS,60,0.023363662427103776
RMS,70,0.0232430088995621
RMS,80,0.02691436873205748
RMS,90,0.027861300932884893
RMS,100,0.027026795569733565
RMS,110,0.026621748145317762
RMS,120,0.02566123810754036
RMS,130,0.024997645844772255
RMS,140,0.02419850515998022
RMS,150,0.023964943028608975
RMS,160,0.02375426679459971
RMS,170,0.023663301573723722
RMS,180,0.024826522502008997
RMS,190,0.023705669298375975
RMS,200,0.023533232331096204
VAR,10,0.0017994941305627858
VAR,20,0.0012404665004242502
VAR,30,0.0010159370088100826
VAR,40,0.0009239203697698771
VAR,50,0.0009155030012496413
VAR,60,0.0009480189369892224
VAR,70,0.0008814643468574955
VAR,80,0.0007903947323149383
VAR,90,0.0007289831237364272
VAR,100,0.0006967180847770762
VAR,110,0.000644939473831744
VAR,120,0.000635535614085668
VAR,130,0.0006383810918650242
VAR,140,0.0006266845502360112
VAR,150,0.0006027678144292535
VAR,160,0.0006516077411508939
VAR,170,0.0006498747685132905
VAR,180,0.000643019009847932
VAR,190,0.0006402121603736636
VAR,200,0.0006511648027681931
WL,10,0.10958528711881926
WL,20,0.21070071267228635
WL,30,0.32253998813029106
WL,40,0.4325186572105747
WL,50,0.5442765031114727
WL,60,0.6649277241660114
WL,70,0.7761929624484192
WL,80,0.8701280546147993
WL,90,0.9979165047496815
WL,100,1.1579664341907678
WL,110,1.2627490250579179
WL,120,1.3641150572259804
WL,130,1.4661821988333321
WL,140,1.6119538378073504
WL,150,1.7550248920276448
WL,160,1.8149593586196513
WL,170,1.990594747584817
WL,180,2.092855234321601
WL,190,2.17960514676364
WL,200,2.259343553212858
